,Unnamed: 0,Country,Averaged Happiness Score,Averaged Economy,Averaged Family,Averaged Health,Averaged Freedom,Averaged Generosity,Averaged Trust,Wealth Category
0,2,Denmark,7.545999967199999,1.3967286026,1.358480531,0.865249105,0.6259593444000001,0.3188760978,0.4293740135999999,Rich
1,3,Norway,7.541000035800001,1.5193806367999998,1.330457853333333,0.8733333005999999,0.6380485174,0.3289904474,0.343950767,Rich
2,5,Finland,7.5377999726,1.356960385,1.3310489083333332,0.873835534,0.6215361714000001,0.2177825545999999,0.3984743086,Rich
3,0,Switzerland,7.511399991600001,1.4721639106,1.3372205816666665,0.9283182578,0.6206421154,0.2774318556,0.379763457,Rich
4,1,Iceland,7.5110000374,1.386522604,1.3986880023333337,0.9177444244,0.6180345270000001,0.4191240442,0.1401453118,Rich
5,6,Netherlands,7.404599971000001,1.411012927,1.2460764076666666,0.878569225,0.5896508976,0.415149966,0.298614365,Rich
6,4,Canada,7.350599997000001,1.3881288832,1.3000196636666663,0.9005575303999999,0.6109541824,0.3895979444,0.3058463032,Rich
7,7,Sweden,7.319199983999999,1.4039814538000002,1.2849573896666666,0.8989910315999999,0.6175808198,0.3365118504,0.3975017458,Rich
8,8,New Zealand,7.313000026,1.3175092096,1.346881708,0.8916179412,0.617782426,0.4328050251999999,0.4000153404,Rich
9,9,Australia,7.276199984,1.394884987,1.3080106506666669,0.9145293586,0.6050434763999999,0.41607785,0.314572746,Rich
10,10,Israel,7.1421999642000005,1.3037224846,1.198529988,0.9026888,0.4174997208,0.319936531,0.12087442,Rich
11,12,Austria,7.142000008399999,1.3983414526,1.2802716543333332,0.8836796838,0.576929238,0.2924004643999999,0.214260073,Rich
12,11,Costa Rica,7.1261999992,1.0356552566,1.2252678836666668,0.8322478529999999,0.5912283300000001,0.1964226458,0.1010813177999999,Rich
13,14,United States of America,6.9988000062,1.4559458568,1.2382835213333332,0.8216153256000001,0.5068821046,0.3550797562,0.1408437576,Rich
14,17,Ireland,6.9644000474,1.4604153278000005,1.363093705,0.8789325248,0.5721920683999999,0.3882996646,0.2997916306,Rich
15,16,Luxembourg,6.9359999832,1.6376747196,1.2390678886666666,0.903489899,0.5838315782000001,0.2458461963999999,0.3374208848,Rich
16,24,Germany,6.9290000428,1.3953426768,1.2898767836666665,0.8707361464,0.5585882768,0.291385834,0.2651343876,Rich
17,18,Belgium,6.9213999588,1.3753981521999998,1.2668208993333332,0.8828703738,0.5387621444,0.2088806676,0.2378446261999999,Rich
18,20,United Kingdom,6.910000044999999,1.337566788,1.28955336,0.8817351878,0.5037600072000001,0.4246908318,0.2440176131999999,Rich
